range,Precipitation,Hazen frequency,Parametre de  gumbel(u)
108,0.0,0.0025447400814316828,-1.7873709811012255
109,0.0,0.002568412082189187,-1.7858197704049599
110,0.0,0.0025920840829466905,-1.7842804142932198
111,0.0,0.0026157560837041945,-1.7827527115376223
112,0.0,0.0026394280844616986,-1.7812364661237394
113,0.0,0.0026631000852192026,-1.7797314870704013
114,0.0,0.0026867720859767067,-1.778237588256813
115,0.0,0.0027104440867342107,-1.776754588257079
116,0.0,0.002734116087491715,-1.775282310181756
117,0.0,0.002757788088249219,-1.7738205815260808
118,0.0,0.002781460089006723,-1.7723692340245316
119,0.0,0.002805132089764227,-1.770928103511413
120,0.0,0.002828804090521731,-1.7694970297871606
121,0.0,0.002852476091279235,-1.7680758564900898
122,0.0,0.002876148092036739,-1.7666644309733208
123,0.0,0.0028998200927942428,-1.765262604186631
124,0.0,0.002923492093551747,-1.7638702305629972
125,0.0,0.002947164094309251,-1.76248716790961
126,0.0,0.002970836095066755,-1.7611132773031422
127,0.0,0.002994508095824259,-1.7597484229890805
128,0.0,0.003018180096581763,-1.758392472284925
129,0.0,0.003041852097339267,-1.7570452954870832
130,0.0,0.003065524098096771,-1.7557067657812895
131,0.0,0.0030891960988542752,-1.754376759156387
132,0.0,0.0031128680996117793,-1.7530551543213264
133,0.0,0.0031365401003692834,-1.7517418326252325
134,0.0,0.0031602121011267874,-1.750436677980407
135,0.0,0.0031838841018842915,-1.749139576788136
136,0.0,0.003207556102641795,-1.747850417867181
137,0.0,0.003231228103399299,-1.7465690923848387
138,0.0,0.003254900104156803,-1.7452954937904546
139,0.0,0.0032785721049143073,-1.7440295177512914
140,0.0,0.0033022441056718113,-1.7427710620906496
141,0.0,0.0033259161064293154,-1.7415200267281443
142,0.0,0.0033495881071868194,-1.7402763136220518
143,0.0,0.0033732601079443235,-1.7390398267136369
144,0.0,0.0033969321087018276,-1.7378104718733818
145,0.0,0.0034206041094593316,-1.7365881568490364
146,0.0,0.0034442761102168357,-1.7353727912154202
147,0.0,0.0034679481109743397,-1.7341642863258984
148,0.0,0.0034916201117318434,-1.7329625552654737
149,0.0,0.0035152921124893474,-1.731767512805422
150,0.0,0.0035389641132468515,-1.7305790753594157
151,0.0,0.0035626361140043555,-1.7293971609410743
152,0.0,0.0035863081147618596,-1.7282216891228872
153,0.0,0.0036099801155193637,-1.7270525809964554
154,0.0,0.0036336521162768677,-1.7258897591340017
155,0.0,0.0036573241170343718,-1.7247331475511007
156,0.0,0.003680996117791876,-1.7235826716705813
157,0.0,0.00370466811854938,-1.7224382582875608
158,0.0,0.003728340119306884,-1.7212998355355635
159,0.0,0.003752012120064388,-1.7201673328536868
160,0.0,0.003775684120821892,-1.7190406809547758
161,0.0,0.0037993561215793957,-1.7179198117945667
162,0.0,0.0038230281223368997,-1.716804658541767
163,0.0,0.003846700123094404,-1.7156951555490372
164,0.0,0.003870372123851908,-1.7145912383248394
165,0.0,0.003894044124609412,-1.7134928435061252
166,0.0,0.003917716125366916,-1.7123999088318305
167,0.0,0.0039413881261244205,-1.7113123731171496
168,0.0,0.003965060126881924,-1.7102301762285614
169,0.0,0.003988732127639428,-1.7091532590595797
170,0.0,0.004012404128396932,-1.7080815635072049
171,0.0,0.004036076129154436,-1.70701503244905
172,0.0,0.00405974812991194,-1.7059536097211223
173,0.0,0.004083420130669444,-1.7048972400962306
174,0.0,0.004107092131426948,-1.7038458692630063
175,0.0,0.004130764132184452,-1.7027994438055087
176,0.0,0.004154436132941956,-1.7017579111834016
177,0.0,0.00417810813369946,-1.700721219712678
178,0.0,0.004201780134456964,-1.6996893185469164
179,0.0,0.004225452135214468,-1.69866215765905
180,0.0,0.004249124135971972,-1.6976396878236348
181,0.0,0.004272796136729476,-1.6966218605995969
182,0.0,0.0042964681374869805,-1.695608628313443
